site_code,individual,leaf_number,surface,random_number,angle,length_pixels
pkpp,i4,l2,upper,1,30.964,22.988
pkpp,i4,l2,upper,2,-45,16.028
pkpp,i4,l2,upper,3,57.995,19.437
pkpp,i4,l2,upper,4,-173.991,18.812
pkpp,i4,l2,upper,5,6.009,19.105
pkpp,i5,l1,lower,1,10.305,11.319
pkpp,i5,l1,lower,2,21.038,13.328
pkpp,i5,l1,lower,3,-90,15.002
pkpp,i5,l1,lower,4,135,11.319
pkpp,i5,l1,lower,5,158.962,13.789
pkpp,i5,l1,upper,1,22.38,18.911
pkpp,i5,l1,upper,2,-177.138,19.345
pkpp,i5,l1,upper,3,104.036,20.616
pkpp,i5,l1,upper,4,135,18.391
pkpp,i5,l1,upper,5,139.764,16.776
pkpp,i7,l1,lower,1,21.038,13.928
pkpp,i7,l1,lower,2,-51.34,12.078
pkpp,i7,l1,lower,3,-41.186,11.319
pkpp,i7,l1,lower,4,57.529,13.73
pkpp,i7,l1,lower,5,10.305,11.632
pkpp,i7,l1,upper,1,3.814,15.033
pkpp,i7,l1,upper,2,-7.125,15.51
pkpp,i7,l1,upper,3,-52.431,16.816
pkpp,i7,l1,upper,4,-172.405,15.424
pkpp,i7,l1,upper,5,143.973,14.067
pkpp,i7,l2,lower,1,37.875,10.883
pkpp,i7,l2,lower,2,-45,13.086
pkpp,i7,l2,lower,3,-41.634,12.512
pkpp,i7,l2,lower,4,36.027,12.944
pkpp,i7,l2,lower,5,26.565,11.328
pkpp,i7,l2,upper,1,50.711,13.901
pkpp,i7,l2,upper,2,36.87,14.407
pkpp,i7,l2,upper,3,-42.274,14.5
pkpp,i7,l2,upper,4,52.431,15.67
pkpp,i7,l2,upper,5,129.806,15.592
pkpp,i8,l1,lower,1,17.103,12.966
pkpp,i8,l1,lower,2,-33.69,11.005
pkpp,i8,l1,lower,3,-45,10.853
pkpp,i8,l1,lower,4,-5.194,10.879
pkpp,i8,l1,lower,5,131.186,10.991
pkpp,i8,l1,upper,1,87.274,20.402
pkpp,i8,l1,upper,2,77.196,22.618
pkpp,i8,l1,upper,3,-127.569,15.934
pkpp,i8,l1,upper,4,14.931,16.09
pkpp,i8,l1,upper,5,-43.025,20.863
pkpp,i8,l2,lower,1,141.34,12.964
pkpp,i8,l2,lower,2,114.444,11.792
pkpp,i8,l2,lower,3,124.992,12.235
pkpp,i8,l2,lower,4,52.125,11.8
pkpp,i8,l2,lower,5,-36.027,13.601
pkpp,i8,l2,upper,1,-52.595,21.137
pkpp,i8,l2,upper,2,38.157,17.734
pkpp,i8,l2,upper,3,19.29,20.875
pkpp,i8,l2,upper,4,87.138,19.692
pkpp,i8,l2,upper,5,-26.565,20.276
knhp,i1,l1,lower,1,-29.358,18.823
knhp,i1,l1,lower,2,-75.964,16.211
