site_code,individual,replicate,leaf_thickness_pixels,pixels_per_mm,leaf_thickness_um
hwlr,i1,r1,216.455,940.1741000000001,230.22863531339567
hwlr,i1,r2,200.307,940.1741000000001,213.05309303883183
hwlr,i1,r3,194.369,940.1741000000001,206.73724153856185
hwlr,i3,r1,193.238,940.1741000000001,205.53427285435748
hwlr,i3,r2,199.459,940.1741000000001,212.1511324338758
hwlr,i3,r3,208.119,940.1741000000001,221.36219238543157
hwlr,i7,r1,173.255,940.1741000000001,184.27969883450308
hwlr,i7,r2,180.088,940.1741000000001,191.5475016808057
hwlr,i7,r3,177.571,940.1741000000001,188.87033795123688
nnpl,i1,r1,144.746,940.1741000000001,153.95659165680058
nnpl,i1,r2,151.574,940.1741000000001,161.21907633915887
nnpl,i1,r3,137.311,940.1741000000001,146.0484818716023
mmrd,i1,r1,154.347,940.1741000000001,164.16853006267667
mmrd,i1,r2,148.157,940.1741000000001,157.58464309961315
mmrd,i1,r3,126.615,940.1741000000001,134.67186556192092
mmrd,i4,r1,188.909,940.1741000000001,200.92980651136847
mmrd,i4,r2,158.663,940.1741000000001,168.7591691794105
mmrd,i4,r3,160.783,940.1741000000001,171.01407069180058
mmrd,i6,r1,156.986,940.1741000000001,166.9754569924868
mmrd,i6,r2,141.813,940.1741000000001,150.83695668706466
mmrd,i6,r3,134.712,940.1741000000001,143.28410025334668
whlr,i3,r1,125.693,940.1741000000001,133.691196130589
whlr,i3,r2,122.202,940.1741000000001,129.97805406466736
whlr,i3,r3,130.573,940.1741000000001,138.8817241402417
whlr,i6,r1,266.602,940.1741000000001,283.56662877652127
whlr,i6,r2,258.479,940.1741000000001,274.926739632585
whlr,i6,r3,261.861,940.1741000000001,278.52394572452056
whlr,i8,r1,156.345,940.1741000000001,166.29366837482547
whlr,i8,r2,157.835,940.1741000000001,167.8784812302317
whlr,i8,r3,156.324,940.1741000000001,166.27133208625932
knhp,i1,r1,32.085,169.04,189.80714623757692
knhp,i1,r2,32.409,169.04,191.7238523426408
knhp,i1,r3,30.674,169.04,181.46000946521534
knhp,i5,r1,32.728,169.04,193.61097964978705
knhp,i5,r2,27.643,169.04,163.5293421675343
knhp,i5,r3,33.553,169.04,198.49148130619972
knhp,i8,r1,31.079,169.04,183.8558920965452
knhp,i8,r2,33.468,169.04,197.98864174159962
knhp,i8,r3,34.817,169.04,205.9690014197823
hlan,i2,r1,28.985,173.5005,167.06003729095883
hlan,i2,r2,30.509,173.5005,175.84387364877912
hlan,i2,r3,24.499,173.5005,141.2042040224668
hlan,i5,r1,24.513,173.5005,141.28489543257803
hlan,i5,r2,22.361,173.5005,128.88147296405486
hlan,i5,r3,24.931,173.5005,143.69411039161272
hlan,i6,r1,24.777,173.5005,142.8065048803894
hlan,i6,r2,28.129,173.5005,162.12633392987343
hlan,i6,r3,24.597,173.5005,141.76904389324528
kgma,i2,r1,26.543,172.0195,154.30227387011357
kgma,i2,r2,24.23,172.0195,140.85612386967756
kgma,i2,r3,25.104,172.0195,145.93694319539355
kgma,i3,r1,40.586,172.0195,235.9383674525272
kgma,i3,r2,36.603,172.0195,212.7840157656545
kgma,i3,r3,38.361,172.0195,223.0037873613166
kgma,i7,r1,33.541,172.0195,194.9837082423795
kgma,i7,r2,30.399,172.0195,176.71833716526325
kgma,i7,r3,29.069,172.0195,168.98665558265196
ktrs,i3,r1,22.452,174.1215,128.94444396585143
